smiles,bsse
[H]/C(=C(/[H])c1c([H])c([H])c(N([H])[H])c([H])c1[H])c1c([H])c([H])c(N([H])[H])c([H])c1[H],-0.077654
[H]/C(=C1/SC(=O)N([H])C1=O)c1c([H])c([H])c([H])c(Cl)c1[H],-0.181071
[H]C([H])([H])c1nc(C([H])([H])[H])c(C([H])([H])[H])nc1C([H])([H])[H],-0.03402
[H]C([H])([H])n1c(=O)c2c(nc(SC([H])(C([H])([H])[H])C([H])([H])[H])n2C([H])([H])[H])n(C([H])([H])[H])c1=O,-0.040398
[H]C(=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])/C(=C(\[H])C([H])([H])N([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H],-0.059888
[H]C1=C([H])N([H])c2c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c3c([H])c([H])nc1c23,0.008066
[H]C1=C(Br)C([H])(OC(=O)C([H])([H])[H])C(OC([H])([H])[H])=C([H])C1=O,-0.08962
[H]C1=C(c2nc3c([H])c([H])c([H])c([H])c3n2[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])N([H])C1(C([H])([H])[H])C([H])([H])[H],0.002209
[H]C1=C(N(C(=O)C([H])([H])[H])c2c([H])c([H])c(Cl)c([H])c2[H])C([H])([H])C([H])([H])C([H])([H])C1=O,-0.079826
[H]c1c([H])c([H])c(C([H])([H])N2C([H])([H])C([H])([H])N(C(=O)c3nc4c([H])c([H])c([H])c([H])c4c([H])c3[H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],-0.132487
[H]c1c([H])c([H])c(C([H])([H])N2C([H])([H])C([H])([H])N(C(=O)c3oc4c([H])c([H])c([H])c([H])c4c3[H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],-0.116865
[H]c1c([H])c([H])c(C([H])([H])Oc2c([H])c([H])c(N([H])[H])c3c([H])c([H])c([H])c([H])c23)c([H])c1[H],-0.00931
[H]c1c([H])c([H])c(C(=O)c2c([H])c([H])c(C(=O)N([H])[H])c3c2N([H])c2c(C(=O)N([H])[H])c([H])c([H])c([H])c2N3C([H])([H])[H])c([H])c1[H],-0.180472
[H]c1c([H])c([H])c(C(=O)N([H])C(=S)N([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c([H])c1[H],-0.125185
[H]c1c([H])c([H])c(C(=O)N([H])C2=NN(c3c([H])c([H])c([H])c([H])c3[H])C(=O)C2([H])[H])c([H])c1[H],-0.127715
[H]c1c([H])c([H])c(C(=O)N([H])N=C2C([H])([H])C([H])(c3c([H])c([H])c([H])c([H])c3[H])N([H])C([H])(c3c([H])c([H])c([H])c([H])c3[H])C2([H])[H])c([H])c1[H],-0.115598
[H]c1c([H])c([H])c(C2([H])c3c([H])c([H])c([H])c([H])c3N(C([H])([H])[H])c3c([H])c([H])c([H])c([H])c32)c([H])c1[H],-0.026121
